Country,UN_Region,Continent
Afghanistan,Southern Asia,Asia
Albania,Southern Europe,Europe
Algeria,Northern Africa,Africa
American Samoa,Polynesia,Oceania
Andorra,Southern Europe,Europe
Angola,Middle Africa,Africa
Anguilla,Caribbean,North America
Antigua And Barbuda,Caribbean,North America
Argentina,South America,South America
Armenia,Western Asia,Asia
Aruba,Caribbean,North America
Australia,Australia and New Zealand,Oceania
Austria,Western Europe,Europe
Azerbaijan,Western Asia,Asia
Bahamas,Caribbean,North America
Bahrain,Western Asia,Asia
Baker Island,Northern America,North America
Bangladesh,Southern Asia,Asia
Barbados,Caribbean,North America
Belarus,Eastern Europe,Europe
Belgium,Western Europe,Europe
Belize,Central America,North America
Benin,Western Africa,Africa
Bhutan,Southern Asia,Asia
Bolivia,South America,South America
"Bonaire, Saint Eustatius And Saba",Caribbean,North America
Bosnia And Herzegovina,Southern Europe,Europe
Botswana,Southern Africa,Africa
Brazil,South America,South America
British Virgin Islands,Caribbean,North America
Bulgaria,Eastern Europe,Europe
Burkina Faso,Western Africa,Africa
Burma,South-eastern Asia,Asia
Burundi,Eastern Africa,Africa
Cambodia,South-eastern Asia,Asia
Cameroon,Middle Africa,Africa
Canada,Northern America,North America
Cape Verde,Western Africa,Africa
Cayman Islands,Caribbean,North America
Central African Republic,Middle Africa,Africa
Chad,Middle Africa,Africa
Chile,South America,South America
China,Eastern Asia,Asia
Christmas Island,Australia and New Zealand,Asia
Colombia,South America,South America
Comoros,Eastern Africa,Africa
Costa Rica,Central America,North America
Croatia,Southern Europe,Europe
Cuba,Caribbean,North America
Curaçao,Caribbean,North America
Cyprus,Western Asia,Asia
Czech Republic,Eastern Europe,Europe
Côte D'Ivoire,Western Africa,Africa
Democratic Republic of the Congo,Middle Africa,Africa
Denmark,Northern Europe,Europe
Djibouti,Eastern Africa,Africa
Dominica,Caribbean,North America
Dominican Republic,Caribbean,North America
Ecuador,South America,South America
Egypt,Northern Africa,Africa
El Salvador,Central America,North America
Equatorial Guinea,Middle Africa,Africa
Eritrea,Eastern Africa,Africa
Estonia,Northern Europe,Europe
Ethiopia,Eastern Africa,Africa
Falkland Islands (Islas Malvinas),South America,South America
Faroe Islands,Northern Europe,Europe
