Year,Observed,ARIMA_Forecast,Continent
1981,0.1377966374268986,0.17808379446056985,Africa
1982,0.1023609649122789,0.15094277179627777,Africa
1983,0.4992790935672531,0.15094277179627777,Africa
1984,0.190020321637423,0.15094277179627777,Africa
1985,0.1532630116959055,0.15094277179627777,Africa
1986,0.1340393274853788,0.15094277179627777,Africa
1987,0.7494720760233875,0.15094277179627777,Africa
1988,0.4130349415204648,0.15094277179627777,Africa
1989,0.1183448830409332,0.15094277179627777,Africa
1990,0.4841431286549671,0.15094277179627777,Africa
1991,0.3140378654970739,0.15094277179627777,Africa
1992,0.2841533625731003,0.15094277179627777,Africa
1993,0.3691007309941518,0.15094277179627777,Africa
1994,0.3181007309941464,0.15094277179627777,Africa
1995,0.5694750000000006,0.15094277179627777,Africa
1996,0.4080407894736808,0.15094277179627777,Africa
1997,0.5289618421052644,0.15094277179627777,Africa
1998,0.8920539473684208,0.15094277179627777,Africa
1999,0.4910232456140342,0.15094277179627777,Africa
2000,0.4148492690058489,0.15094277179627777,Africa
2001,0.6323624269005848,0.15094277179627777,Africa
2002,0.7647615497076039,0.15094277179627777,Africa
2003,0.8276986842105245,0.15094277179627777,Africa
2004,0.7004574561403523,0.15094277179627777,Africa
2005,0.9375904970760196,0.15094277179627777,Africa
2006,0.6765247076023364,0.15094277179627777,Africa
2007,0.7062235380116952,0.15094277179627777,Africa
2008,0.5965846491228035,0.15094277179627777,Africa
2009,0.7991168128654991,0.15094277179627777,Africa
2010,1.149211842105263,0.15094277179627777,Africa
2011,0.6685173976608176,0.15094277179627777,Africa
2012,0.6124033625730938,0.15094277179627777,Africa
2013,0.868110964912276,0.15094277179627777,Africa
1981,0.2726888888888901,0.015072655970597953,Asia
1982,-0.1842245098039221,0.11324263445685998,Asia
1983,0.059100653594772,0.03345748229975917,Asia
1984,-0.2096183006535952,0.09830083464522743,Asia
1985,0.1234552287581713,0.04560104991436215,Asia
1986,0.0688571895424843,0.08843145904995087,Asia
1987,0.3439519607843131,0.05362213381095191,Asia
1988,0.3415973856209149,0.08191252720314557,Asia
1989,0.1900745098039209,0.05892022980036802,Asia
1990,0.4615663398692824,0.07760663449361783,Asia
1991,0.2274764705882361,0.06241973453999569,Asia
1992,-0.2815218954248379,0.07476250105862108,Asia
1993,-0.0558650326797369,0.06473123162255916,Asia
1994,0.4429650326797372,0.07288389061898622,Asia
1995,0.3906235294117657,0.0662580244576127,Asia
1996,0.313948692810456,0.0716430285903349,Asia
1997,0.3193702614379106,0.06726650349864424,Asia
1998,1.071404575163399,0.07082341290968963,Asia
1999,0.8759421568627452,0.06793262528861468,Asia
2000,0.5905794117647076,0.07028203937383427,Asia
2001,0.8830500000000008,0.06837261285505886,Asia
2002,0.8160483660130744,0.06992445067434308,Asia
2003,0.6428473856209145,0.06866323397200814,Asia
2004,0.7922330065359482,0.06968825575616747,Asia
2005,0.6569388888888916,0.06885519538196215,Asia
2006,0.7986104575163395,0.06953224400453391,Asia
2007,0.8611496732026147,0.06898198996350646,Asia
2008,0.6418604575163407,0.06942919493457181,Asia
2009,0.8559699346405232,0.06906574047311592,Asia
2010,1.379384967320263,0.06936112883885233,Asia
2011,0.4430549019607852,0.06912105946052385,Asia
2012,0.750788562091504,0.0693161697393845,Asia
2013,1.6392297385620935,0.06915759882466753,Asia
1981,0.0292615079365079,-0.04746340180870584,Europe
1982,0.409608446712018,-0.04746340180870584,Europe
1983,0.5005404195011343,-0.04746340180870584,Europe
1984,0.132878854875285,-0.04746340180870584,Europe
1985,-0.4784272675736956,-0.04746340180870584,Europe
1986,-0.0720174036281173,-0.04746340180870584,Europe
1987,-0.3649952947845811,-0.04746340180870584,Europe
1988,0.4514689909297056,-0.04746340180870584,Europe
1989,0.9850948412698406,-0.04746340180870584,Europe
1990,1.1844536848072569,-0.04746340180870584,Europe
1991,0.2531934807256251,-0.04746340180870584,Europe
1992,0.7394247732426313,-0.04746340180870584,Europe
1993,0.212620351473924,-0.04746340180870584,Europe
1994,1.0607649092970537,-0.04746340180870584,Europe
1995,0.6335353174603187,-0.04746340180870584,Europe
