Year,Observed,ARIMA_Forecast,Continent,Prophet_Forecast
1900,,,Africa,0.12147196361959532
1900,,,Antarctica,-1.1598290852500002
1900,,,Asia,-0.5147264494843129
1900,,,Europe,-0.24516343234960344
1900,,,North America,-0.5128014741038773
1900,,,Oceania,-0.932280805531832
1900,,,South America,-0.4770038369984124
1901,,,Africa,0.12093328659904536
1901,,,Antarctica,-1.1448100873662346
1901,,,Asia,-0.5074423929742664
1901,,,Europe,-0.24009303894985426
1901,,,North America,-0.5051715704529482
1901,,,Oceania,-0.9044309895026124
1901,,,South America,-0.4700709904280961
1902,,,Africa,0.12039460957849536
1902,,,Antarctica,-1.1297910894824688
1902,,,Asia,-0.5001583364642199
1902,,,Europe,-0.23502264555010507
1902,,,North America,-0.4975416668020191
1902,,,Oceania,-0.8765811734733928
1902,,,South America,-0.46313814385777974
1903,,,Africa,0.1198559325579454
1903,,,Antarctica,-1.1147720915987032
1903,,,Asia,-0.4928742799541734
1903,,,Europe,-0.2299522521503559
1903,,,North America,-0.4899117631510901
1903,,,Oceania,-0.8487313574441733
1903,,,South America,-0.4562052972874634
1904,,,Africa,0.1193172555378416
1904,,,Antarctica,-1.099753093708976
1904,,,Asia,-0.48559022344470865
1904,,,Europe,-0.22488185875059322
1904,,,North America,-0.4822818594982302
1904,,,Oceania,-0.8208815414338231
1904,,,South America,-0.4492724507170124
1905,,,Africa,0.11877710269028549
1905,,,Antarctica,-1.0846929478798246
1905,,,Asia,-0.47828621061603976
1905,,,Europe,-0.21979757386206408
1905,,,North America,-0.474631051999746
1905,,,Oceania,-0.7929554245576912
1905,,,South America,-0.44232061004636836
1906,,,Africa,0.11823842566995367
1906,,,Antarctica,-1.0696739499888617
1906,,,Asia,-0.4710021541072199
1906,,,Europe,-0.21472718046200215
1906,,,North America,-0.4670011483541648
1906,,,Oceania,-0.765105608572636
1906,,,South America,-0.43538776347562347
1907,,,Africa,0.11769974864962186
1907,,,Antarctica,-1.0546549520978987
1907,,,Asia,-0.4637180975984001
1907,,,Europe,-0.20965678706194024
1907,,,North America,-0.45937124470858354
1907,,,Oceania,-0.7372557925875809
1907,,,South America,-0.4284549169048786
1908,,,Africa,0.11716107162929003
1908,,,Antarctica,-1.0396359542069358
1908,,,Asia,-0.45643404108958024
1908,,,Europe,-0.20458639366187825
1908,,,North America,-0.45174134106300234
1908,,,Oceania,-0.7094059766025258
1908,,,South America,-0.4215220703341337
1909,,,Africa,0.11662091878212777
1909,,,Antarctica,-1.0245758083826562
1909,,,Asia,-0.4491300282638155
1909,,,Europe,-0.19950210877351085
1909,,,North America,-0.44409053356843375
1909,,,Oceania,-0.6814800874048651
1909,,,South America,-0.41457022966340784
1910,,,Africa,0.11608224176241676
1910,,,Antarctica,-1.0095568104977877
1910,,,Asia,-0.44184597175724694
1910,,,Europe,-0.19443171537390946
1910,,,North America,-0.4364606299194788
1910,,,Oceania,-0.6536304984509137
1910,,,South America,-0.40763738309287517
1911,,,Africa,0.11554356474366842
1911,,,Antarctica,-0.9945378125988977
1911,,,Asia,-0.43456191524739135
1911,,,Europe,-0.18936132197398253
1911,,,North America,-0.42883072627202806
1911,,,Oceania,-0.6257837143477085
1911,,,South America,-0.40070453650600685
1912,,,Africa,0.1150048877249201
1912,,,Antarctica,-0.9795188147000079
1912,,,Asia,-0.4272778587375358
1912,,,Europe,-0.18429092857405555
1912,,,North America,-0.4212008226245773
1912,,,Oceania,-0.5979369302445032
1912,,,South America,-0.3937716899191386
1913,,,Africa,0.11446473487872315
1913,,,Antarctica,-0.9644586688616689
1913,,,Asia,-0.41997384590847525
1913,,,Europe,-0.17920664368536163
1913,,,North America,-0.4135500151315171
1913,,,Oceania,-0.5700138535821112
1913,,,South America,-0.3868198492320323
1914,,,Africa,0.11392605786090611
1914,,,Antarctica,-0.9494396709655515
1914,,,Asia,-0.41268978940030715
1914,,,Europe,-0.17413625028555269
1914,,,North America,-0.40592011148757334
1914,,,Oceania,-0.5421722660665522
1914,,,South America,-0.3798870026244571
1915,,,Africa,0.11338738084308908
1915,,,Antarctica,-0.9344206730694342
1915,,,Asia,-0.40540573289213905
1915,,,Europe,-0.16906585688574371
1915,,,North America,-0.39829020784362956
1915,,,Oceania,-0.5143306785509932
1915,,,South America,-0.37295415601688203
1916,,,Africa,0.11284870382447613
