Year,Observed,Prophet_Forecast,Continent
1900,,0.12147196361959532,Africa
1901,,0.12093328659904536,Africa
1902,,0.12039460957849536,Africa
1903,,0.1198559325579454,Africa
1904,,0.1193172555378416,Africa
1905,,0.11877710269028549,Africa
1906,,0.11823842566995367,Africa
1907,,0.11769974864962186,Africa
1908,,0.11716107162929003,Africa
1909,,0.11662091878212777,Africa
1910,,0.11608224176241676,Africa
1911,,0.11554356474366842,Africa
1912,,0.1150048877249201,Africa
1913,,0.11446473487872315,Africa
1914,,0.11392605786090611,Africa
1915,,0.11338738084308908,Africa
1916,,0.11284870382447613,Africa
1917,,0.11230855097841494,Africa
1918,,0.11176987395980198,Africa
1919,,0.11123119694048887,Africa
1920,,0.11069251992117576,Africa
1921,,0.11015236707491696,Africa
1922,,0.10961369005610695,Africa
1923,,0.10907501303729696,Africa
1924,,0.10853633601729878,Africa
1925,,0.10799618316984852,Africa
1926,,0.10745750614976775,Africa
1927,,0.10691882912968698,Africa
1928,,0.1063801521096062,Africa
1929,,0.1058399992605178,Africa
1930,,0.10530132223888591,Africa
1931,,0.10476264521604235,Africa
1932,,0.10422396819319878,Africa
1933,,0.10368381534289538,Africa
1934,,0.10314513831503941,Africa
1935,,0.10260646128718345,Africa
1936,,0.10206778425843704,Africa
1937,,0.10152763140221462,Africa
1938,,0.10098895437346822,Africa
1939,,0.10045027729404128,Africa
1940,,0.09991160021461436,Africa
1941,,0.09937111740021942,Africa
1942,,0.09883211131482555,Africa
1943,,0.09829310522943169,Africa
1944,,0.09775409911948743,Africa
1945,,0.09721361628047485,Africa
1946,,0.09667433611095143,Africa
1947,,0.096135055941428,Africa
1948,,0.09559577577190458,Africa
1949,,0.09505501812113062,Africa
1950,,0.09451573795027682,Africa
1951,,0.09397645777817774,Africa
1952,,0.09343717760607864,Africa
1953,,0.09289641995405601,Africa
1954,,0.09235713978145726,Africa
1955,,0.09181785960885852,Africa
1956,,0.09127857943561091,Africa
1957,,0.09073782178243658,Africa
1958,,0.09019854160918896,Africa
1959,,0.08965926143686659,Africa
1960,,0.08911998126454422,Africa
1961,,0.08857922361203228,Africa
1962,,0.08803994343944524,Africa
1963,,0.0875006632668582,Africa
1964,,0.08696138309372337,Africa
1965,,0.08642062544066217,Africa
1966,,0.08588134526752736,Africa
1967,,0.08534206509439256,Africa
1968,,0.08480278492125773,Africa
1969,,0.08426202726819655,Africa
1970,,0.08372274709506172,Africa
1971,,0.08318346692192692,Africa
1972,,0.0826441867487921,Africa
1973,,0.08210342909573091,Africa
1974,,0.0815641489225961,Africa
1975,,0.0810248687494613,Africa
1976,,0.0804855885763265,Africa
1977,,0.07994483092326529,Africa
1978,,0.07940555075013048,Africa
1979,,0.07886627057699568,Africa
1980,,0.07832699040386087,Africa
1980,,0.07778771023072605,Africa
1981,,0.07724843005759126,Africa
1982,,0.07670914988445644,Africa
1983,,0.07616986971132164,Africa
1984,,0.07562911205826042,Africa
1985,,0.07508983188512562,Africa
1986,,0.07455055171199082,Africa
1987,,0.07401127153885599,Africa
1988,,0.0734705138857948,Africa
1989,,0.07293123371265998,Africa
1990,,0.07239195353952518,Africa
1991,,0.07185267336639037,Africa
1992,,0.07131191571332918,Africa
1993,,0.07077263554019436,Africa
1994,,0.07023335536705956,Africa
1995,,0.06969407519392475,Africa
1996,,0.06915331754086355,Africa
1997,,0.06861403736772874,Africa
1998,,0.06807475719459394,Africa
1999,,0.06753547702145914,Africa
2000,,0.06699471936839792,Africa
2001,,0.06645543919526312,Africa
2002,,0.0659161590221283,Africa
2003,,0.06537687884899349,Africa
2004,,0.0648361211959323,Africa
2005,,0.06429684102279748,Africa
2006,,0.06375756084966268,Africa
2007,,0.06321828067652786,Africa
2008,,0.06267752302346666,Africa
2009,,0.06213824285033185,Africa
2010,,0.061598962677197056,Africa
2011,,0.06105968250406224,Africa
2012,,0.060518924851001035,Africa
1900,,-0.5147264494843129,Asia
1901,,-0.5074423929742664,Asia
1902,,-0.5001583364642199,Asia
1903,,-0.4928742799541734,Asia
1904,,-0.48559022344470865,Asia
1905,,-0.47828621061603976,Asia
1906,,-0.4710021541072199,Asia
